station_id,lead_hours,n_pairs,mean_signed_error_cm,mae_cm,rmse_cm,bias_cm,within_5cm_pct,within_10cm_pct,within_20cm_pct,first_date,last_date,maturity
cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,48,3,-4.333333333333333333333333333,4.333333333333333333333333333,4.654746681256314,-4.333333333333333333333333333,66.66666666666666666666666667,100,100,2026-08-04,2026-08-08,Date insuficiente
cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,72,3,-6,6,6.377042156569663,-6,33.33333333333333333333333333,100,100,2026-08-05,2026-08-08,Date insuficiente
cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,96,2,-8.5,8.5,8.631338250816034,-8.5,0,100,100,2026-08-06,2026-08-08,Date insuficiente
cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,120,1,-13,13,13,-13,0,0,100,2026-08-07,2026-08-07,Date insuficiente
e3a30b68-5b3e-42d0-b6e7-82411594d811,24,5,-0.4,0.4,0.6324555320336759,-0.4,100,100,100,2026-08-03,2026-08-08,Date insuficiente
e3a30b68-5b3e-42d0-b6e7-82411594d811,48,4,0.25,1.25,1.5,0.25,100,100,100,2026-08-04,2026-08-08,Date insuficiente
e3a30b68-5b3e-42d0-b6e7-82411594d811,72,3,0.3333333333333333333333333333,2.333333333333333333333333333,2.516611478423583,0.3333333333333333333333333333,100,100,100,2026-08-05,2026-08-08,Date insuficiente
e3a30b68-5b3e-42d0-b6e7-82411594d811,96,2,0,2,2,0,100,100,100,2026-08-06,2026-08-08,Date insuficiente
e3a30b68-5b3e-42d0-b6e7-82411594d811,120,1,-1,1,1,-1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,24,5,0.2,1,1.3416407864998738,0.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,48,4,1.25,2.25,2.598076211353316,1.25,100,100,100,2026-08-04,2026-08-08,Date insuficiente
e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,72,3,1.333333333333333333333333333,2.666666666666666666666666667,3.1622776601683795,1.333333333333333333333333333,100,100,100,2026-08-05,2026-08-08,Date insuficiente
e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,96,2,0,2,2,0,100,100,100,2026-08-06,2026-08-08,Date insuficiente
e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,120,1,0,0,0,0,100,100,100,2026-08-07,2026-08-07,Date insuficiente
ec11d8f6-34c5-4d2d-afc2-4171b759c56a,24,5,-0.2,1.4,1.61245154965971,-0.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
ec11d8f6-34c5-4d2d-afc2-4171b759c56a,48,4,-2.25,2.25,3.2015621187164243,-2.25,75,100,100,2026-08-04,2026-08-08,Date insuficiente
ec11d8f6-34c5-4d2d-afc2-4171b759c56a,72,3,-2.666666666666666666666666667,2.666666666666666666666666667,3.1622776601683795,-2.666666666666666666666666667,100,100,100,2026-08-05,2026-08-08,Date insuficiente
ec11d8f6-34c5-4d2d-afc2-4171b759c56a,96,2,-4.5,4.5,5.1478150704935,-4.5,50,100,100,2026-08-06,2026-08-08,Date insuficiente
ec11d8f6-34c5-4d2d-afc2-4171b759c56a,120,1,-8,8,8,-8,0,100,100,2026-08-07,2026-08-07,Date insuficiente
fda97819-adbe-448c-bb6b-85e4aea435af,24,5,-0.2,0.6,0.7745966692414834,-0.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
fda97819-adbe-448c-bb6b-85e4aea435af,48,4,0.25,1.25,1.5,0.25,100,100,100,2026-08-04,2026-08-08,Date insuficiente
fda97819-adbe-448c-bb6b-85e4aea435af,72,3,0,2,2.160246899469287,0,100,100,100,2026-08-05,2026-08-08,Date insuficiente
fda97819-adbe-448c-bb6b-85e4aea435af,96,2,-0.5,1.5,1.5811388300841898,-0.5,100,100,100,2026-08-06,2026-08-08,Date insuficiente
fda97819-adbe-448c-bb6b-85e4aea435af,120,1,-1,1,1,-1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
