country_code,provider_id,source_station_id,source_station_uuid,station_name_original,station_name_ascii,river_name,river_km,latitude,longitude,gauge_zero_value,gauge_zero_unit,vertical_datum,level_unit,discharge_unit,temperature_unit,station_type,active,source_url,metadata_url,notes,possible_cross_border_match_id,match_confidence,match_reason,human_review_required
at,viadonau_at,ATDUE00001G001420091,,Dürnstein,Durnstein,Danube,2009.15,48.3978,15.5184,191.2,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:durnstein,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATKBG00001G000619415,,Korneuburg,Korneuburg,Danube,1941.46,48.3273,16.3342,159.87,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:korneuburg,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATVIE00002G001500063,,Schwedenbrücke,Schwedenbrucke,Danube,6.28,48.212,16.3786,152.68,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:schwedenbrucke,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATPEC00001G000718947,,Wildungsmauer,Wildungsmauer,Danube,1894.72,48.1153,16.8056,139.48,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=True,danube:wildungsmauer,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATHIA00001G001218792,,Thebnerstraßl,Thebnerstrassl,Danube,1879.25,48.1665,16.9837,133.26,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:thebnerstrassl,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
sk,shmu_sk,5140,,Bratislava,Bratislava,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5138,,Čunovo - horná hladina,Cunovo - horna hladina,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5127,,Devín,Devin,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5128,,Devín - lom,Devin - lom,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5153,,Dobrohošť,Dobrohost,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5143,,Gabčíkovo,Gabcikovo,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5149,,Hamuliakovo,Hamuliakovo,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,6860,,Iža,Iza,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,6849,,Komárno,Komarno,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,6870,,Radvaň  n/Dunajom,Radvan  n/Dunajom,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,5141,,Rusovce,Rusovce,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,6880,,Štúrovo,Sturovo,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
sk,shmu_sk,6830,,Zlatná na Ostrove,Zlatna na Ostrove,Danube,,,,,,,cm,,degC,hydrometric,unknown,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,https://www.shmu.sk/en/?id=hydro_vod_all&page=1,operational/unreviewed data,,unknown,,no
de,hydroinfo_hu,342205,,Ingolstadt,Ingolstadt,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:ingolstadt,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342206,,Oberndorf,Oberndorf,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:oberndorf,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342001,,Regensburg-Schwabelweis,Regensburg-Schwabelweis,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:regensburg-schwabelweis,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342004,,Pfelling,Pfelling,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:pfelling,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342209,,Deggendorf,Deggendorf,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:deggendorf,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342002,,Hofkirchen,Hofkirchen,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:hofkirchen,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342003,,Passau,Passau,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:passau,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
de,hydroinfo_hu,342211,,Passau-Ilzstadt,Passau-Ilzstadt,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:passau-ilzstadt,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
at,hydroinfo_hu,242006,,Engelhartszell,Engelhartszell,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:engelhartszell,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
at,hydroinfo_hu,242008,,Linz,Linz,Danube,,,,,,,cm,m3/s,degC,hydrometric_or_republished,unknown,https://www.hydroinfo.hu/tables/dunhif.html,,provider_role=republished; foreign rows are validation only,danube:linz,low,republished name may match a primary national station; identifiers/metadata must be reviewed,yes
