station_id,station_nid,forecast_issue_datetime,forecast_issue_date,target_datetime,target_date,lead_hours,forecast_level_raw,forecast_level_cm,forecast_available,availability_source,html_value_raw,xml_html_match,capture_datetime_utc,capture_datetime_local,forecast_run_hash,first_seen_at,last_seen_at,quality_flag
29f3d156-04e1-46bc-b699-bbea096e212f,89,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,-173,-173,True,xml_with_html_mismatch,-177,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,7caba5564565451a69848280bc695728f42774406d8108594986eb10d541a1fa,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,f6c2727e2006a7ae93929056956931b244301a62d0cf96f8e59bc6cb0ba86d02,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,f6c2727e2006a7ae93929056956931b244301a62d0cf96f8e59bc6cb0ba86d02,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,f6c2727e2006a7ae93929056956931b244301a62d0cf96f8e59bc6cb0ba86d02,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,f6c2727e2006a7ae93929056956931b244301a62d0cf96f8e59bc6cb0ba86d02,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,f6c2727e2006a7ae93929056956931b244301a62d0cf96f8e59bc6cb0ba86d02,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
434d580b-1bc9-4210-aea9-3d263e8251fe,87,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,-118,-118,True,xml_with_html_mismatch,-119,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,1fe8720ddb767ad1357967a3208a16c2df5b24d479dbc989e99f80aba7881d65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
434d580b-1bc9-4210-aea9-3d263e8251fe,87,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,-115,-115,True,xml_with_html_mismatch,-116,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,1fe8720ddb767ad1357967a3208a16c2df5b24d479dbc989e99f80aba7881d65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
434d580b-1bc9-4210-aea9-3d263e8251fe,87,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,-115,-115,True,xml_with_html_mismatch,-116,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,1fe8720ddb767ad1357967a3208a16c2df5b24d479dbc989e99f80aba7881d65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
434d580b-1bc9-4210-aea9-3d263e8251fe,87,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,-116,-116,True,xml_with_html_mismatch,-117,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,1fe8720ddb767ad1357967a3208a16c2df5b24d479dbc989e99f80aba7881d65,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
